2026-08-14,Global Macro,ABC,EUR,6750000.00
2026-08-14,Global Macro,GFD,EUR,4500000.00
2026-08-14,Global Macro,HKM,EUR,3000000.00
2026-08-14,Global Macro,UNMAPPED_TEST,EUR,750000.00
2026-08-14,Global Macro,ABC,JPY,-3600000.00
2026-08-14,Global Macro,GFD,JPY,-2400000.00
2026-08-14,Global Macro,HKM,JPY,-1600000.00
2026-08-14,Global Macro,UNMAPPED_TEST,JPY,-400000.00
2026-08-14,Global Macro,ABC,GBP,4050000.00
2026-08-14,Global Macro,GFD,GBP,2700000.00
2026-08-14,Global Macro,HKM,GBP,1800000.00
2026-08-14,Global Macro,UNMAPPED_TEST,GBP,450000.00
2026-08-14,Global Macro,ABC,AUD,5400000.00
2026-08-14,Global Macro,GFD,AUD,3600000.00
2026-08-14,Global Macro,HKM,AUD,2400000.00
2026-08-14,Global Macro,UNMAPPED_TEST,AUD,600000.00
2026-08-14,Global Macro,ABC,AED,2700000.00
2026-08-14,Global Macro,GFD,AED,1800000.00
2026-08-14,Global Macro,HKM,AED,1200000.00
2026-08-14,Global Macro,UNMAPPED_TEST,AED,300000.00
2026-08-14,Global Macro,ABC,SAR,-900000.00
2026-08-14,Global Macro,GFD,SAR,-600000.00
2026-08-14,Global Macro,HKM,SAR,-400000.00
2026-08-14,Global Macro,UNMAPPED_TEST,SAR,-100000.00
2026-08-14,Global Macro,ABC,HKD,675000.00
2026-08-14,Global Macro,GFD,HKD,450000.00
2026-08-14,Global Macro,HKM,HKD,300000.00
2026-08-14,Global Macro,UNMAPPED_TEST,HKD,75000.00
2026-08-14,Global Macro,ABC,CNY,29250000.00
2026-08-14,Global Macro,GFD,CNY,19500000.00
2026-08-14,Global Macro,HKM,CNY,13000000.00
2026-08-14,Global Macro,UNMAPPED_TEST,CNY,3250000.00
2026-08-14,Global Macro,ABC,CNH,-24300000.00
2026-08-14,Global Macro,GFD,CNH,-16200000.00
2026-08-14,Global Macro,HKM,CNH,-10800000.00
2026-08-14,Global Macro,UNMAPPED_TEST,CNH,-2700000.00
2026-08-14,Global Macro,ABC,CNH/CNY,4950000.00
2026-08-14,Global Macro,GFD,CNH/CNY,3300000.00
2026-08-14,Global Macro,HKM,CNH/CNY,2200000.00
2026-08-14,Global Macro,UNMAPPED_TEST,CNH/CNY,550000.00
2026-08-14,Global Macro,ABC,BRL,19800000.00
2026-08-14,Global Macro,GFD,BRL,13200000.00
2026-08-14,Global Macro,HKM,BRL,8800000.00
2026-08-14,Global Macro,UNMAPPED_TEST,BRL,2200000.00
2026-08-14,Global Macro,ABC,BRF,-16200000.00
2026-08-14,Global Macro,GFD,BRF,-10800000.00
2026-08-14,Global Macro,HKM,BRF,-7200000.00
2026-08-14,Global Macro,UNMAPPED_TEST,BRF,-1800000.00
2026-08-14,Global Macro,ABC,BRL/BRF,3600000.00
2026-08-14,Global Macro,GFD,BRL/BRF,2400000.00
2026-08-14,Global Macro,HKM,BRL/BRF,1600000.00
2026-08-14,Global Macro,UNMAPPED_TEST,BRL/BRF,400000.00
2026-08-14,EM Trading,ABC,MXN,-9450000.00
2026-08-14,EM Trading,GFD,MXN,-6300000.00
2026-08-14,EM Trading,HKM,MXN,-4200000.00
2026-08-14,EM Trading,UNMAPPED_TEST,MXN,-1050000.00
2026-08-14,EM Trading,ABC,ZAR,7200000.00
2026-08-14,EM Trading,GFD,ZAR,4800000.00
2026-08-14,EM Trading,HKM,ZAR,3200000.00
2026-08-14,EM Trading,UNMAPPED_TEST,ZAR,800000.00
2026-08-14,EM Trading,ABC,INR,4050000.00
2026-08-14,EM Trading,GFD,INR,2700000.00
2026-08-14,EM Trading,HKM,INR,1800000.00
2026-08-14,EM Trading,UNMAPPED_TEST,INR,450000.00
2026-08-14,EM Trading,ABC,AED,1710000.00
