2026-09-12,EURUSD Curncy,Offshore,Call,1.10,2026-12-18,45000000,12000000,-2000000,4000000,100000000,EUR,100000,Random-A,Alpha,VanillaOption,2026-08-01,CS1L
2026-09-12,EURUSD Curncy,Offshore,Call,1.15,2026-12-18,-25000000,-10000000,1500000,-3500000,100000000,EUR,-50000,Random-B,CrossBook,VanillaOption,2026-08-01,CS1S
2026-09-12,USDJPY Curncy,Offshore,Call,152,2027-03-19,30000000,8000000,-1500000,3000000,80000000,USD,50000,Noise-1,Macro,VanillaOption,2026-08-05,RR1C
2026-09-12,USDJPY Curncy,Offshore,Put,140,2027-03-19,20000000,-7000000,1200000,-2800000,80000000,USD,-20000,Noise-2,Macro,VanillaOption,2026-08-05,RR1P
2026-09-12,USDZAR Curncy,Offshore,Call,17,2027-01-15,40000000,10000000,-1800000,3200000,100000000,USD,80000,Position-X,EM,VanillaOption,2026-08-08,RCS1L
2026-09-12,USDZAR Curncy,Offshore,Call,19,2027-01-15,-50000000,-16000000,2800000,-5500000,200000000,USD,-100000,Position-Y,EM,VanillaOption,2026-08-08,RCS1S
2026-09-12,USDCNH Curncy,Offshore,Call,7.1,2027-02-26,30000000,9000000,-1200000,2500000,60000000,USD,40000,Ladder-A,Asia,VanillaOption,2026-08-12,LAD1A
2026-09-12,USDCNH Curncy,Offshore,Call,7.3,2027-02-26,-18000000,-7000000,900000,-2000000,60000000,USD,-20000,Ladder-B,Asia,VanillaOption,2026-08-12,LAD1B
2026-09-12,USDCNH Curncy,Offshore,Call,7.5,2027-02-26,-8000000,-4000000,500000,-1200000,60000000,USD,-10000,Ladder-C,Asia,VanillaOption,2026-08-12,LAD1C
2026-09-12,AUDUSD Curncy,Offshore,Put,0.64,2027-04-16,20000000,-6000000,1000000,-2000000,90000000,AUD,-20000,Sea-1,G10,VanillaOption,2026-08-15,SEA1P
2026-09-12,AUDUSD Curncy,Offshore,Call,0.68,2027-04-16,35000000,9000000,-1500000,3000000,90000000,AUD,60000,Sea-2,G10,VanillaOption,2026-08-15,SEA1CL
